Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA2686	pfeR	5.48	0.021	5.05	0.21	-	COG0745	Signal transduction mechanisms / Transcription
PA2687	pfeS	2.88	0.0088	2.3	0.4	K00936	COG0642	Signal transduction mechanisms
PA2688	pfeA	3.46	0.045	5.34	0.13	K16089	COG4771	Inorganic ion transport and metabolism
PA2689	-	8.61	0.051	24.83	0.18	K07017	COG2819	General function prediction only
PA2690	-	0.66	0.58	0.59	0.41	K07486	COG3547	DNA replication, recombination, and repair
PA2691	-	1.05	0.97	2.35	0.73	K03885	COG1252	Energy production and conversion
PA2692	-	1.14	0.99	0.42	0.66	-	COG1959	Transcription
PA2693	-	0.47	0.28	1.32	0.87	-	COG1607	Lipid metabolism
PA2694	-	0.61	0.39	0.92	0.94	K03671	COG0526	Posttranslational modification, protein turnover, chaperones / Energy production and conversion
PA2695	-	1.2	0.63	1.08	0.89	-	-	-
PA2696	-	46.69	1.9E-40	19.92	1.3E-13	-	COG2207	Transcription
PA2697	-	1.96	0.49	1.41	0.96	-	COG4317	Function unknown
PA2698	-	1.55	0.81	2.31	0.46	-	COG1335	Secondary metabolites biosynthesis, transport, and catabolism
PA2699	-	5.82	0.017	12.81	0.018	K07047	COG1574	General function prediction only
PA2700	opdB	1.93	0.41	2.41	0.41	-	-	-
PA2701	-	3.29	0.03	5.42	0.25	-	-	-
PA2702	-	0.66	0.48	0.54	0.77	-	-	-
PA2703	-	0.78	1	1.81	0.92	-	-	-
PA2704	-	0.68	0.98	2.02	0.71	-	COG2207	Transcription
PA2705	-	1.1	1	1.09	0.96	K09989	COG3825	Function unknown
PA2706	-	1.27	0.94	0.97	1	-	COG3791	Function unknown
PA2707	-	1.95	0.02	0.99	0.91	-	COG0714	General function prediction only
PA2708	-	3.03	0.052	5.74	0.35	-	-	-
PA2709	cysK	1.13	0.81	1.37	0.83	K01738	COG0031	Amino acid transport and metabolism
PA2710	-	0.89	0.91	1.63	0.62	-	COG1280	Amino acid transport and metabolism
PA2711	-	0.93	0.87	2.03	0.54	K11073	COG0687	Amino acid transport and metabolism
PA2712	-	1.34	0.72	2.04	0.77	-	-	-
PA2713	-	1.51	0.33	1.92	0.61	-	COG1733	Transcription
PA2714	-	1.4	0.62	4.84	0.043	-	COG0243	Energy production and conversion
PA2715	-	1.78	0.34	2.1	0.49	K05524	COG1146	Energy production and conversion
PA2716	-	2.7	0.024	2.89	0.28	-	COG1902	Energy production and conversion
PA2717	-	3.05	0.059	4.7	0.36	K00433	COG0596	General function prediction only
PA2718	-	1.12	0.71	0.95	1	-	COG0789	Transcription
PA2719	-	1.24	0.52	1.89	0.72	-	COG0693	General function prediction only
PA2720	-	0.86	0.77	0.66	0.62	-	-	-
PA2721	-	4.28	0.12	10.85	0.55	-	COG3865	Function unknown
PA2722	-	2.56	0.096	2.57	0.58	-	COG3791	Function unknown
PA2723	-	11.21	4.1E-16	11.5	0.00000044	-	-	-
PA2724	-	1.96	0.6	2.29	0.77	-	-	-
PA2725	-	1.25	0.54	0.69	0.61	-	COG0542	Posttranslational modification, protein turnover, chaperones
PA2726	-	0.5	0.2	0.54	0.67	K04068	COG0602	Posttranslational modification, protein turnover, chaperones
PA2727	-	0.64	0.23	1.35	0.41	-	COG0515	General function prediction only / Signal transduction mechanisms / Transcription / DNA replication, recombination, and repair
PA2728	-	2.03	0.019	1.78	0.35	-	COG1112	DNA replication, recombination, and repair
PA2729	-	1.24	0.66	1.76	0.6	-	-	-
PA2730	-	0.26	0.00034	0.19	0.00042	K09805	COG2958	Function unknown
PA2731	-	0.26	0.0000055	0.18	0.000084	-	-	-
PA2732	-	0.49	0.016	0.38	0.011	K01153	COG0610	Defense mechanisms
PA2733	-	0.43	0.0027	0.2	0.0002	-	COG3943	General function prediction only
PA2734	-	0.33	0.000079	0.23	0.000032	K01154	COG0732	Defense mechanisms
PA2735	-	0.53	0.028	0.24	0.000002	K03427	COG0286	Defense mechanisms
PA2736	-	0.66	0.16	0.54	0.18	-	COG4190	Transcription
PA2737	-	1.1	0.75	0.64	0.35	-	COG0789	Transcription
PA2738	himA	1.03	0.96	0.33	0.00016	K04764	COG0776	DNA replication, recombination, and repair
PA2739	pheT	0.94	0.72	0.33	0.00004	K01890	COG0072	Translation, ribosomal structure and biogenesis
PA2740	pheS	0.43	0.0072	0.71	0.43	K01889	COG0016	Translation, ribosomal structure and biogenesis
PA2741	rplT	0.24	0.000000022	0.1	3.9E-19	K02887	COG0292	Translation, ribosomal structure and biogenesis
PA2742	rpmI	0.31	0.000011	0.17	4.3E-10	K02916	COG0291	Translation, ribosomal structure and biogenesis
PA2743	infC	0.21	4.9E-09	0.09	4.8E-18	K02520	COG0290	Translation, ribosomal structure and biogenesis
PA2744	thrS	0.27	0.0000027	0.16	5.4E-09	K01868	COG0441	Translation, ribosomal structure and biogenesis
PA2744.1	-	1.19	0.66	1.35	1	-	-	-
PA2745	-	0.38	0.1	0.65	0.53	-	COG0596	General function prediction only
PA2746	-	5.55	0.011	12.09	0.56	-	-	-
PA2747	-	4.69	0.27	3.11	0.25	-	-	-
PA2748	-	1.07	1	1.31	0.74	K01265	COG0024	Translation, ribosomal structure and biogenesis
PA2749	endA	0.74	0.63	0.84	1	K01150	COG2356	DNA replication, recombination, and repair
PA2750	-	3.79	0.18	7.79	0.065	-	-	-
PA2751	-	3.97	0.011	4.14	0.14	K07058	COG1295	Replication, recombination, and repair
PA2752	-	0.74	0.62	0.18	0.55	-	COG1238	Function unknown
PA2753	-	1.94	0.067	2.1	0.19	-	-	-
PA2754	-	1.9	0.55	0.91	0.82	-	COG4575	Function unknown
PA2755	-	0.34	0.00016	0.18	0.000012	K08276	COG4574	General function prediction only
PA2756	-	0.53	0.018	0.27	0.024	-	-	-
PA2757	-	1.39	0.8	2.58	0.48	-	COG4125	Function unknown
PA2758	-	1.09	0.81	1.44	0.62	-	COG0583	Transcription
PA2759	-	1.09	0.91	1.33	0.95	-	-	-
PA2760	-	0.19	7.2E-10	0.09	3.3E-18	-	-	-
PA2761	-	6	0.0000093	1.81	0.56	-	-	-
PA2762	-	2.16	0.46	3.29	0.91	K06995	COG3450	General function prediction only
PA2763	-	3.26	0.24	2.52	0.71	-	-	-
PA2764	-	1.45	0.68	1.46	0.79	-	COG0596	General function prediction only
PA2765	-	0.49	0.027	0.25	0.0033	K07223	COG2837	Inorganic ion transport and metabolism
PA2766	-	1.1	0.93	0.96	0.88	-	COG1309	Transcription
PA2767	-	3.02	0.11	10.63	0.03	-	COG1024	Lipid metabolism
PA2768	-	1.55	0.5	9.06	0.11	-	-	-
PA2769	-	1.09	0.85	0.47	0.92	-	COG1051	Nucleotide transport and metabolism
PA2770	-	0.49	0.033	0.33	0.022	K06998	COG0384	General function prediction only
PA2771	-	3.11	0.048	11.54	0.0004	-	COG2199	Signal    transduction mechanisms
PA2772	-	0.31	0.0031	0.2	0.059	-	-	-
PA2773	-	0.48	0.19	1	1	-	-	-
PA2774	-	0.22	0.0011	0.18	0.021	-	-	-
PA2775	-	0.8	0.67	0.36	0.22	-	-	-
PA2776	-	2.87	0.0085	2.09	0.23	K09471	COG0665	Amino acid transport and metabolism
PA2777	-	10.01	0.015	11.73	0.00039	-	COG2116	Inorganic ion transport and metabolism
PA2778	-	2.39	0.16	1.69	0.58	-	-	-
PA2779	-	8.42	3.4E-10	5.17	0.068	-	-	-
PA2780	-	0.75	0.43	2.55	0.49	-	-	-
PA2781	-	0.86	0.85	1.08	0.99	-	-	-
PA2782	-	15.16	0.063	7.07	0.29	-	-	-
PA2783	-	41.36	0.000065	16.51	0.0024	-	-	-
PA2784	-	7.55	0.00033	1.99	0.53	-	-	-
PA2785	-	5.78	0.078	7.11	0.48	K07727	COG3655	Transcription
PA2786	-	0.82	0.97	0.54	0.94	-	-	-
PA2787	cpg2	9.14	0.000023	11.71	0.065	K01295	COG0624	Amino acid transport and metabolism
PA2788	-	4.98	0.11	1.17	0.86	-	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA2789	-	0.78	0.82	5.79	0.61	-	-	-
PA2790	-	1.97	0.12	2.91	0.47	-	-	-
PA2791	-	0.23	0.055	0.52	0.96	-	-	-
PA2792	-	0.18	0.0000011	0.28	0.016	-	-	-
PA2793	-	2.62	0.0013	2.3	0.019	-	-	-
PA2794	-	2.28	0.018	1.83	0.22	-	-	-
PA2795	-	0.64	0.21	0.59	0.29	K05539	COG0042	Translation, ribosomal structure and biogenesis
PA2796	-	0.59	0.026	0.26	0.0068	K00616	COG0176	Carbohydrate transport and metabolism
PA2797	-	0.94	0.68	0.28	0.00015	-	COG1366	Signal transduction mechanisms
PA2798	-	0.9	0.53	0.63	0.19	-	COG2208	Signal transduction mechanisms / Transcription
PA2799	-	2.26	0.28	1.16	0.94	-	-	-
PA2800	-	0.38	0.00033	0.21	0.000012	K04754	COG2853	Cell envelope biogenesis, outer membrane
PA2801	-	0.49	0.18	0.26	0.4	K07107	COG0824	General function prediction only
PA2802	-	0.6	0.19	2	0.19	-	COG2188	Transcription
PA2803	-	3.88	0.36	13.58	0.21	-	COG0637	General function prediction only
PA2804	-	13.15	0.047	56.47	0.000013	-	COG4341	General function prediction only
PA2805	-	0.54	0.026	0.17	0.0000013	-	-	-
PA2806	-	0.26	0.00086	0.25	0.19	K06879	COG2904	Function unknown
PA2807	-	0.63	0.92	4.22	0.1	-	COG4454	Inorganic ion transport and metabolism
PA2808	ptrA	2.11	0.68	5.09	0.6	-	-	-
PA2809	copR	0.63	0.43	0.39	0.39	K07665	COG0745	Signal transduction mechanisms / Transcription
PA2810	copS	0.63	0.72	0.66	0.75	K07644	COG0642	Signal transduction mechanisms
PA2811	-	0.42	0.023	0.35	0.22	K09686	COG0842	Defense mechanisms
PA2812	-	0.53	0.096	0.87	0.68	K09687	COG1131	Defense mechanisms
PA2813	-	0.75	0.34	1.16	1	K00799	COG0625	Posttranslational modification, protein turnover, chaperones
PA2814	-	1.39	0.51	1.8	0.45	-	COG1305	Amino acid transport and metabolism
PA2815	-	8.4	0.0000067	10.61	0.03	K06445	COG1960	Lipid metabolism
PA2816	-	2.54	0.15	8.51	0.41	-	-	-
PA2817	-	0.52	0.12	0.89	0.71	-	-	-
PA2818	-	2.43	0.0047	3.46	0.021	-	COG2200	Signal    transduction mechanisms
PA2819	-	7.82	0.0015	8.96	0.21	-	-	-
PA2820	-	0.72	0.24	0.46	0.36	-	-	-
PA2821	-	1.1	0.94	0.32	0.11	-	COG0625	Posttranslational modification, protein turnover, chaperones
PA2822	-	0.47	0.11	1.86	0.31	K07170	COG1956	Signal transduction mechanisms
PA2823	-	0.29	0.00022	0.23	0.013	K06923	COG2607	General function prediction only
PA2824	-	2.13	0.12	1.24	0.87	-	COG0642	Signal transduction mechanisms
PA2825	ospR	1.73	0.35	4.06	0.15	-	COG1846	Transcription
PA2826	-	1.31	0.32	3.67	0.056	K00432	COG0386	Posttranslational modification, protein turnover, chaperones
PA2827	-	11.89	0.000000019	1.23	0.99	K07305	COG0229	Posttranslational modification, protein turnover, chaperones
PA2828	-	0.64	0.18	0.4	0.25	K14260	COG0436	Amino acid transport and metabolism
PA2829	-	3.36	0.00058	4.57	0.68	-	-	-
PA2830	htpX	1.74	0.11	1.98	0.29	K03799	COG0501	Posttranslational modification, protein turnover, chaperones
PA2831	-	0.74	0.36	1.21	1	-	COG2866	Amino acid transport and metabolism
PA2832	-	0.44	0.051	0.43	0.47	K00569	-	-
PA2833	-	1.05	0.91	3.59	0.61	-	COG0589	Signal transduction mechanisms
PA2834	-	0.75	0.8	0.71	1	-	COG0583	Transcription
PA2835	-	2.12	0.32	6.19	0.32	-	COG2814	Carbohydrate transport and metabolism
PA2836	-	0.91	0.96	1.61	0.87	K03543	COG1566	Defense mechanisms
PA2837	-	2.29	0.33	10.8	0.13	-	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA2838	-	1.28	0.65	2.97	0.42	-	COG0583	Transcription
PA2839	-	1.21	0.79	2.93	0.87	-	COG3384	Amino acid transport and metabolism
PA2840	-	0.39	0.0072	0.49	0.19	K05592	COG0513	DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis
PA2841	-	11.16	2.7E-09	26.11	0.07	-	COG1024	Lipid metabolism
PA2842	-	0.5	0.16	0.53	0.52	-	COG0421	Amino acid transport and metabolism
PA2843	-	0.75	0.61	1.48	0.7	K01626	COG3200	Amino acid transport and metabolism
PA2844	-	1.1	0.81	1.8	0.56	K09927	COG3214	Function unknown
PA2845	-	1.72	0.32	4.37	0.35	-	COG5457	Function unknown
PA2846	-	0.9	0.92	1.27	0.62	-	COG0583	Transcription
PA2847	-	3.44	0.0016	2.26	0.34	K07090	COG0730	General function prediction only
PA2848	-	7.91	0.00016	12.33	0.53	-	COG0583	Transcription
PA2849	ohrR	1.77	0.23	3.5	0.54	-	COG1846	Transcription
PA2850	-	0.61	0.11	1.41	0.55	-	COG1764	Secondary metabolites biosynthesis, transport and catabolism
PA2851	-	0.22	0.000000096	0.08	1.9E-12	K02356	COG0231	Translation, ribosomal structure and biogenesis
PA2852	-	0.49	0.058	0.49	0.29	-	COG4394	Function unknown
PA2853	oprI	0.51	0.006	0.19	4.4E-10	-	-	-
PA2854	-	1.03	0.99	1.05	0.77	K16291	COG1376	Function unknown
PA2855	-	0.53	0.27	0.59	0.42	-	-	-
PA2856	tesA	0.6	0.28	0.59	0.42	K10804	COG2755	Amino acid transport and metabolism
PA2857	-	0.85	0.82	1.08	0.83	K02003	COG4181	Secondary metabolites biosynthesis, transport, and catabolism
PA2858	-	0.91	0.84	1.09	0.85	K02004	COG3127	Secondary metabolites biosynthesis, transport, and catabolism
PA2859	greB	0.47	0.048	0.28	0.11	K04760	COG0782	Function unknown
PA2860	-	0.73	0.58	0.37	0.27	-	-	-
PA2861	ligT	3.26	0.089	4.05	0.54	K01975	COG1514	Translation, ribosomal structure and biogenesis
PA2862	lipA	1.14	0.65	3.84	0.26	K01046	COG1075	General function prediction only
PA2863	lipH	1.02	0.93	2.12	0.79	-	COG5380	Posttranslational modification, protein turnover, chaperones
PA2864	-	0.61	0.11	0.32	0.15	K15977	COG2259	Function unknown
PA2865	-	0.77	0.52	0.62	0.44	-	COG4623	Cell envelope biogenesis, outer membrane
PA2866	mttC	0.32	0.01	0.36	0.52	K03424	COG0084	DNA replication, recombination, and repair
PA2867	-	0.28	0.00014	0.18	0.00027	-	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA2868	-	0.27	0.012	0.29	0.22	-	COG3728	DNA replication, recombination, and repair
PA2869	-	2.03	0.12	2.36	0.54	-	COG3915	Function unknown
PA2870	-	1.47	0.49	1.33	0.65	-	COG2199	Signal    transduction mechanisms
PA2871	-	0.75	0.45	0.68	0.83	-	COG1946	Lipid metabolism
PA2872	-	2.01	0.38	0.91	1	-	COG5607	Function unknown
PA2873	-	1.5	0.39	5.95	0.13	-	COG1305	Amino acid transport and metabolism
PA2874	-	1.89	0.19	2.26	0.49	-	COG1721	General function prediction only
PA2875	-	1.25	0.61	0.71	0.42	K03924	COG0714	General function prediction only
PA2876	pyrF	0.36	0.018	0.44	0.39	K01591	COG0284	Nucleotide transport and metabolism
PA2877	-	0.76	0.38	0.36	0.41	-	COG0583	Transcription
PA2878	-	3.17	0.26	6.05	0.48	-	COG3803	Function unknown
PA2879	-	0.45	0.035	0.46	0.22	-	COG0583	Transcription
PA2880	-	2.83	0.11	4.34	0.24	-	COG4125	Function unknown
PA2881	-	4.12	0.51	5.35	0.41	-	COG2204	Signal transduction mechanisms
PA2882	-	1.54	0.49	6.06	0.44	-	COG0642	Signal transduction mechanisms
PA2883	-	7.09	0.37	4.41	0.17	-	-	-
PA2884	-	1.6	0.33	1.41	0.59	K07052	-	-
PA2885	atuR	0.98	0.78	0.74	0.67	-	COG1309	Transcription
PA2886	atuA	1.46	0.42	1.57	0.94	-	-	-
PA2887	atuB	0.67	0.58	0.85	1	K13774	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA2888	atuC	1.88	0.5	2.25	0.35	K13778	COG4799	Lipid metabolism
PA2889	atuD	0.45	0.11	0.76	0.88	K11731	COG1960	Lipid metabolism
PA2890	atuE	1.33	0.52	2.42	0.78	K13779	COG1024	Lipid metabolism
PA2891	atuF	1.23	0.49	3.71	0.079	K13777	COG4770	Lipid metabolism
PA2892	atuG	0.45	0.35	1.61	0.72	K13775	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA2893	atuH	0.92	0.94	2.82	0.22	K13776	COG0318	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA2894	-	0.89	0.73	0.44	0.85	-	-	-
PA2895	-	1.93	0.2	1.85	0.71	-	-	-
PA2896	-	2.27	0.17	2.44	0.24	K03088	COG1595	Transcription
PA2897	-	0.72	0.3	0.57	0.23	-	COG1167	Transcription / Amino acid transport and metabolism
PA2898	-	4.03	0.16	2.68	0.52	-	-	-
PA2899	-	0.66	0.54	0.54	0.78	-	COG2197	Signal transduction mechanisms / Transcription
PA2900	-	0.36	0.021	0.33	0.14	-	COG2885	Cell envelope biogenesis, outer membrane
PA2901	-	0.83	0.39	1.49	0.63	-	-	-
PA2902	-	0.45	0.018	0.3	0.033	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA2903	cobJ	0.36	0.0064	1.18	0.87	K13541	COG1010	Coenzyme metabolism
PA2904	cobI	0.93	0.73	1.76	0.54	K03394	COG2243	Coenzyme metabolism
PA2905	cobH	0.25	0.011	0.79	1	K06042	COG2082	Coenzyme metabolism
PA2906	-	0.85	0.7	0.55	0.68	K02229	COG0155	Inorganic ion transport and metabolism
PA2907	cobL	0.63	0.2	0.51	0.35	K00595	COG2242	Coenzyme metabolism
PA2908	cbiD	0.8	0.68	0.53	1	K02188	COG1903	Coenzyme metabolism
PA2909	-	0.99	0.81	1.12	1	K05895	COG2099	Coenzyme metabolism
PA2910	-	1.19	0.95	3.1	0.44	-	COG1971	Function unknown
PA2911	-	0.8	0.92	3.15	0.1	K02014	COG1629	Inorganic ion transport and metabolism
PA2912	-	0.88	0.86	2.77	0.48	K02013	COG1120	Inorganic ion transport and metabolism / Coenzyme metabolism
PA2913	-	0.68	0.79	2.86	0.22	K02016	COG0614	Inorganic ion transport and metabolism
PA2914	-	0.54	0.58	3.99	0.22	K02015	COG0609	Inorganic ion transport and metabolism
PA2915	-	0.87	0.78	2.49	0.55	-	COG0491	General function prediction only
PA2916	-	1.62	0.81	0.67	0.87	-	COG1280	Amino acid transport and metabolism
PA2917	-	2.53	0.083	0.51	0.94	-	COG2207	Transcription
PA2918	-	1.8	0.41	6.99	0.17	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA2919	-	1.69	1	2.68	0.64	-	-	-
PA2920	-	4	0.035	2.09	0.62	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA2921	-	0.5	0.27	1.44	0.49	-	COG0583	Transcription
PA2922	-	7.28	0.0043	7.13	0.28	K01451	COG1473	General function prediction only
PA2923	hisJ	4.16	0.15	6.38	0.46	K10014	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA2924	hisQ	1.66	0.76	2.5	0.59	K10016	COG4215	Amino acid transport and metabolism
PA2925	hisM	1.88	0.73	5.74	0.43	K10015	COG4160	Amino acid transport and metabolism
PA2926	hisP	2.37	0.33	5.42	0.49	K10017	COG4598	Amino acid transport and metabolism
PA2927	-	1.92	0.36	2.93	0.39	-	-	-
PA2928	-	2.07	0.035	6.1	0.016	-	-	-
PA2929	-	4.23	0.055	10.46	0.12	-	COG1280	Amino acid transport and metabolism
PA2930	-	1.22	0.44	0.79	0.89	-	COG0583	Transcription
PA2931	cifR	1.72	0.17	3.67	0.096	-	COG1309	Transcription
PA2932	morB	3.59	0.1	25.64	0.0014	K10680	COG1902	Energy production and conversion
PA2933	-	4.91	0.11	30.62	0.0075	-	COG2814	Carbohydrate transport and metabolism
PA2934	-	5.82	0.18	5.39	0.47	-	COG0596	General function prediction only
PA2935	-	3.62	0.0039	1.91	0.59	-	-	-
PA2936	-	1.8	0.34	5.44	0.23	-	COG3038	Energy production and conversion
PA2937	-	11.61	0.00002	23.87	0.021	-	-	-
PA2938	-	2.44	0.066	6.72	0.0049	-	COG2233	Nucleotide transport and metabolism
PA2939	-	44.88	0.0028	7.71	0.56	-	COG2234	General function prediction only
PA2940	-	0.88	0.99	1.81	0.59	K00632	COG0183	Lipid metabolism
PA2941	-	0.44	0.083	1.04	0.77	K13580	COG1240	Coenzyme metabolism
PA2942	-	0.55	0.19	0.62	0.76	K03405	COG1239	Coenzyme metabolism
PA2942.1	-	0.52	0.17	0.41	0.2	-	-	-
PA2943	-	0.9	0.92	1.9	0.8	K01626	COG0722	Amino acid transport and metabolism
PA2944	cobN	0.4	0.011	0.88	0.93	K02230	COG1429	Coenzyme metabolism
PA2945	-	0.33	0.0022	0.59	0.61	K02234	COG0523	General function prediction only
PA2946	-	0.46	0.037	0.74	0.76	-	COG5446	Function unknown
PA2947	-	0.34	0.19	0.51	0.98	K02189	COG2073	Coenzyme metabolism
PA2948	cobM	0.29	0.032	0.81	1	K05936	COG2875	Coenzyme metabolism
PA2949	-	1.52	0.25	1.72	0.31	-	COG0596	General function prediction only
PA2950	-	0.09	8.3E-17	0.18	9.7E-09	K00209	COG3007	Function unknown
PA2951	etfA	0.66	0.14	0.3	0.00011	K03522	COG2025	Energy production and conversion
PA2952	etfB	0.58	0.041	0.23	0.000002	K03521	COG2086	Energy production and conversion
PA2953	-	0.63	0.091	0.37	0.0034	K00311	COG0644	Energy production and conversion
PA2954	-	0.57	0.3	0.76	1	K09986	COG3816	Function unknown
PA2955	-	0.7	0.44	0.39	0.61	-	-	-
PA2956	-	0.61	0.15	0.5	0.46	-	COG1032	Energy production and conversion
PA2957	-	0.5	0.011	0.16	0.0000077	-	COG1309	Transcription
PA2958	-	1.94	0.095	1.29	0.72	-	COG0520	Posttranslational modification, protein turnover, chaperones
PA2958.1	-	24.96	0.000012	34.34	0.39	-	-	-
PA2959	-	0.42	0.01	0.19	0.00038	K03424	COG0084	DNA replication, recombination, and repair
PA2960	pilZ	1.23	0.75	0.21	0.000069	K02676	COG3215	Cell motility and secretion / Intracellular trafficking and secretion
PA2961	holB	0.59	0.16	0.74	0.55	K02341	COG2812	DNA replication, recombination, and repair
PA2962	-	0.32	0.0048	0.36	0.11	K00943	COG0125	Nucleotide transport and metabolism
PA2963	-	0.56	0.076	0.34	0.093	K07082	COG1559	Coenzyme transport and metabolism
PA2964	pabC	0.25	0.00001	0.17	0.0001	K02619	COG0115	Amino acid transport and metabolism / Coenzyme metabolism
PA2965	-	0.3	0.000031	0.17	0.0000016	K09458	COG0304	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA2966	acpP	0.21	0.000000003	0.04	2.4E-33	K02078	COG0236	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA2967	fabG	0.23	0.00000012	0.09	1.3E-16	K00059	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA2968	fabD	0.12	2.7E-12	0.08	5.2E-12	K00645	COG0331	Lipid metabolism
PA2969	plsX	0.47	0.0043	0.15	0.00000094	K03621	COG0416	Lipid metabolism
PA2970	rpmF	0.22	0.000000045	0.06	2.9E-19	K02911	COG0333	Translation, ribosomal structure and biogenesis
PA2971	-	0.39	0.00047	0.1	6.2E-12	K07040	COG1399	General function prediction only
PA2972	-	0.63	0.6	0.95	0.84	-	COG0424	Cell division and chromosome partitioning
PA2973	-	0.24	0.00000061	0.23	0.00025	K04773	COG0616	Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion
PA2974	-	0.38	0.0035	0.5	0.18	K01091	COG0546	General function prediction only
PA2975	rluC	0.38	0.00071	0.23	0.000044	K06179	COG0564	Translation, ribosomal structure and biogenesis
PA2976	-	0.43	0.00076	0.16	0.000000001	K08300	COG1530	Translation, ribosomal structure and biogenesis
PA2977	murB	0.43	0.0077	0.31	0.0084	K00075	COG0812	Cell envelope biogenesis, outer membrane
PA2978	ptpA	0.54	0.12	0.64	0.63	K01104	COG0394	Signal transduction mechanisms
PA2979	kdsB	0.37	0.0045	0.2	0.023	K00979	COG1212	Cell envelope biogenesis, outer membrane
PA2980	-	0.53	0.12	0.49	0.49	K09791	COG2835	Function unknown
PA2981	lpxK	0.67	0.23	0.5	0.25	K00912	COG1663	Cell envelope biogenesis, outer membrane
PA2982	-	0.58	0.046	0.2	0.003	K03559	COG0848	Intracellular trafficking and secretion
PA2983	-	0.87	0.49	0.32	0.0081	K03561	COG0811	Intracellular trafficking and secretion
PA2984	-	2.03	0.098	3.28	0.16	K02238	COG2333	General function prediction only
PA2985	-	1.21	0.61	0.66	0.61	K09928	COG3216	Function unknown
PA2986	-	0.25	0.0000019	0.17	0.00000083	K09808	COG4591	Cell envelope biogenesis, outer membrane
PA2987	-	0.58	0.085	0.71	0.61	K09810	COG1136	Defense mechanisms
PA2988	-	0.51	0.046	0.43	0.15	K09808	COG4591	Cell envelope biogenesis, outer membrane
PA2989	-	3.33	0.018	1.26	0.59	-	-	-
PA2990	-	0.69	0.32	0.69	0.92	K01126	COG0584	Energy production and conversion
PA2991	-	0.32	0.000037	0.28	0.00023	K00322	COG1249	Energy production and conversion
PA2992	-	0.3	0.00017	0.12	0.0052	K05952	COG2991	Function unknown
PA2993	-	0.26	0.000035	0.34	0.1	K03734	COG1477	Coenzyme metabolism
PA2994	nqrF	0.19	8.9E-09	0.14	0.000000089	K00351	COG2871	Energy production and conversion
PA2995	nqrE	0.32	0.0013	0.24	0.031	K00350	COG2209	Energy production and conversion
PA2996	nqrD	0.23	0.0000028	0.21	0.00064	K00349	COG1347	Energy production and conversion
PA2997	nqrC	0.37	0.0064	0.51	0.57	K00348	COG2869	Energy production and conversion
PA2998	nqrB	0.22	0.0000023	0.8	0.81	K00347	COG1805	Energy production and conversion
PA2999	nqrA	0.26	0.013	0.19	0.016	K00346	COG1726	Energy production and conversion
PA3000	-	0.39	0.0039	0.27	0.0018	K11734	COG1113	Amino acid transport and metabolism
PA3001	-	0.22	0.0008	0.15	0.00063	K00134	COG0057	Carbohydrate transport and metabolism
PA3002	-	0.48	0.027	0.63	0.26	K03723	COG1197	DNA replication, recombination, and repair / Transcription
PA3003	-	0.29	0.0002	0.37	0.13	-	-	-
PA3004	-	0.69	0.43	0.99	0.7	K00772	COG0005	Nucleotide transport and metabolism
PA3005	nagZ	0.41	0.0055	0.32	0.015	K01207	COG1472	Carbohydrate transport and metabolism
PA3006	psrA	6.41	0.00034	1.04	0.78	-	COG1309	Transcription
PA3007	lexA	1.07	0.78	0.54	0.24	K01356	COG1974	Transcription / Signal transduction mechanisms
PA3008	-	1.02	0.96	1.66	1	K13053	COG5404	Cell division and chromosome partitioning
PA3009	-	0.41	0.0019	0.26	0.0015	-	-	-
PA3010	-	0.44	0.0079	0.42	0.087	-	-	-
PA3011	topA	0.48	0.011	0.23	0.000064	K03168	COG0550	DNA replication, recombination, and repair
PA3012	-	1.46	0.4	0.77	0.49	-	COG4728	Function unknown
PA3013	foaB	2.53	0.006	1.04	0.78	K00632	COG0183	Lipid metabolism
PA3014	faoA	3.16	0.00021	1.15	0.9	K01825	COG1250	Lipid metabolism
PA3015	-	0.66	0.38	0.76	0.82	-	-	-
PA3016	-	0.85	0.81	0.76	1	-	-	-
PA3017	-	3.28	0.028	1.19	1	K06149	COG0589	Signal transduction mechanisms
PA3018	-	0.53	0.079	0.22	0.03	-	-	-
PA3019	-	0.86	0.81	1.52	0.34	K15738	COG0488	General function prediction only
